datetime,trade_id,product_id,best_bid,best_ask
2020-01-08 01:44:47.387931,80736656,BTC-USD,8390.14,8392.81
2020-01-08 01:44:48.601719,80736657,BTC-USD,8387.64,8391.81
2020-01-08 01:44:48.863741,80736658,BTC-USD,8387.65,8391.73
2020-01-08 01:44:49.089036,80736659,BTC-USD,8387.64,8391.67
2020-01-08 01:44:50.074231,80736660,BTC-USD,8388.18,8391.97
2020-01-08 01:44:51.836772,80736661,BTC-USD,8388.67,8391.92
2020-01-08 01:44:52.329535,80736662,BTC-USD,8388.85,8391.91
2020-01-08 01:44:53.142055,80736663,BTC-USD,8389.07,8391.92
2020-01-08 01:44:54.085650,80736664,BTC-USD,8390.04,8393.73
2020-01-08 01:44:54.791551,80736665,BTC-USD,8390.04,8393.63
2020-01-08 01:44:54.791551,80736666,BTC-USD,8390.04,8393.63
2020-01-08 01:44:55.803083,80736667,BTC-USD,8390.52,8393.09
2020-01-08 01:45:03.458108,80736668,BTC-USD,8387.08,8391.10
2020-01-08 01:45:03.458108,80736669,BTC-USD,8387.08,8391.10
2020-01-08 01:45:07.325814,80736670,BTC-USD,8387.07,8390.22
2020-01-08 01:45:08.955482,80736671,BTC-USD,8386.00,8389.64
2020-01-08 01:45:08.955482,80736672,BTC-USD,8386.00,8389.64
2020-01-08 01:45:10.690536,80736673,BTC-USD,8386.05,8389.27
2020-01-08 01:45:10.901577,80736674,BTC-USD,8386.05,8389.21
2020-01-08 01:45:12.156700,80736675,BTC-USD,8386.18,8389.04
2020-01-08 01:45:12.156700,80736676,BTC-USD,8386.18,8389.04
2020-01-08 01:45:15.284097,80736677,BTC-USD,8387.08,8390.88
2020-01-08 01:45:15.284097,80736678,BTC-USD,8387.08,8390.89
2020-01-08 01:45:15.284097,80736679,BTC-USD,8387.08,8392.51
2020-01-08 01:45:15.284097,80736680,BTC-USD,8387.08,8392.55
2020-01-08 01:45:15.284097,80736681,BTC-USD,8387.08,8392.55
2020-01-08 01:45:15.809341,80736682,BTC-USD,8387.15,8390.78
2020-01-08 01:45:18.284262,80736683,BTC-USD,8387.43,8389.88
2020-01-08 01:45:18.453900,80736684,BTC-USD,8387.43,8389.76
2020-01-08 01:45:18.679415,80736685,BTC-USD,8388.97,8389.73
2020-01-08 01:45:18.811125,80736686,BTC-USD,8388.97,8389.73
2020-01-08 01:45:18.945517,80736687,BTC-USD,8388.97,8389.88
2020-01-08 01:45:18.945517,80736688,BTC-USD,8388.97,8390.00
2020-01-08 01:45:18.945517,80736689,BTC-USD,8388.97,8390.00
2020-01-08 01:45:19.100800,80736690,BTC-USD,8388.97,8390.00
2020-01-08 01:45:19.100800,80736691,BTC-USD,8388.97,8390.00
2020-01-08 01:45:19.652960,80736692,BTC-USD,8388.98,8390.00
2020-01-08 01:45:20.116667,80736693,BTC-USD,8388.98,8390.00
2020-01-08 01:45:22.249744,80736694,BTC-USD,8389.52,8390.00
2020-01-08 01:45:25.430427,80736695,BTC-USD,8388.97,8388.98
2020-01-08 01:45:25.820163,80736696,BTC-USD,8388.97,8388.98
2020-01-08 01:45:25.820163,80736697,BTC-USD,8388.97,8388.98
2020-01-08 01:45:27.592967,80736698,BTC-USD,8388.97,8388.98
2020-01-08 01:45:28.482803,80736699,BTC-USD,8388.97,8388.98
2020-01-08 01:45:31.246015,80736700,BTC-USD,8388.97,8388.98
2020-01-08 01:45:31.246015,80736701,BTC-USD,8388.97,8388.98
2020-01-08 01:45:31.246015,80736702,BTC-USD,8388.97,8388.98
2020-01-08 01:45:31.246015,80736703,BTC-USD,8388.97,8388.98
2020-01-08 01:45:31.246015,80736704,BTC-USD,8388.97,8388.98
2020-01-08 01:45:34.198142,80736705,BTC-USD,8388.97,8388.98
2020-01-08 01:45:34.499443,80736706,BTC-USD,8388.97,8388.98
2020-01-08 01:45:35.443824,80736707,BTC-USD,8388.97,8388.98
2020-01-08 01:45:39.216381,80736708,BTC-USD,8388.97,8388.98
2020-01-08 01:45:40.724038,80736709,BTC-USD,8388.97,8388.98
2020-01-08 01:45:40.724038,80736710,BTC-USD,8388.97,8388.98
2020-01-08 01:45:40.724038,80736711,BTC-USD,8388.97,8388.98
2020-01-08 01:45:40.724038,80736712,BTC-USD,8388.97,8388.98
2020-01-08 01:45:40.724038,80736713,BTC-USD,8388.97,8388.98
2020-01-08 01:45:41.792735,80736714,BTC-USD,8388.97,8388.98
2020-01-08 01:45:42.683909,80736715,BTC-USD,8388.97,8388.98
2020-01-08 01:45:43.705245,80736716,BTC-USD,8386.88,8388.98
2020-01-08 01:45:43.924770,80736717,BTC-USD,8386.88,8386.89
2020-01-08 01:45:43.953738,80736718,BTC-USD,8386.88,8386.89
2020-01-08 01:45:44.152869,80736719,BTC-USD,8386.00,8386.01
2020-01-08 01:45:45.473343,80736720,BTC-USD,8386.00,8386.01
2020-01-08 01:45:45.656701,80736721,BTC-USD,8386.00,8386.01
2020-01-08 01:45:46.358496,80736722,BTC-USD,8386.00,8386.01
2020-01-08 01:45:48.561822,80736723,BTC-USD,8386.00,8386.01
2020-01-08 01:45:49.554942,80736724,BTC-USD,8386.00,8386.01
2020-01-08 01:45:50.512572,80736725,BTC-USD,8386.00,8386.01
2020-01-08 01:45:51.647031,80736726,BTC-USD,8386.00,8386.01
2020-01-08 01:45:53.123262,80736727,BTC-USD,8386.00,8386.01
2020-01-08 01:45:53.301873,80736728,BTC-USD,8386.00,8387.74
2020-01-08 01:45:53.301873,80736729,BTC-USD,8386.00,8387.74
2020-01-08 01:45:53.301873,80736730,BTC-USD,8386.00,8387.74
2020-01-08 01:45:55.774352,80736731,BTC-USD,8386.00,8386.01
2020-01-08 01:45:58.459621,80736732,BTC-USD,8386.00,8386.01
2020-01-08 01:45:58.836828,80736733,BTC-USD,8386.00,8387.82
2020-01-08 01:45:58.836828,80736734,BTC-USD,8386.00,8388.10
2020-01-08 01:45:58.836828,80736735,BTC-USD,8386.00,8388.20
2020-01-08 01:45:58.836828,80736736,BTC-USD,8386.00,8388.26
2020-01-08 01:45:58.836828,80736737,BTC-USD,8386.00,8388.26
2020-01-08 01:45:59.554061,80736738,BTC-USD,8386.00,8388.18
2020-01-08 01:46:01.826939,80736739,BTC-USD,8386.05,8388.11
2020-01-08 01:46:02.095088,80736740,BTC-USD,8386.06,8388.11
2020-01-08 01:46:02.247292,80736741,BTC-USD,8386.06,8388.11
2020-01-08 01:46:02.247292,80736742,BTC-USD,8386.06,8388.11
2020-01-08 01:46:03.882479,80736743,BTC-USD,8386.88,8386.89
2020-01-08 01:46:06.703336,80736744,BTC-USD,8386.00,8386.01
2020-01-08 01:46:07.372900,80736745,BTC-USD,8386.00,8386.01
2020-01-08 01:46:09.020883,80736746,BTC-USD,8386.00,8386.01
2020-01-08 01:46:12.433861,80736747,BTC-USD,8386.00,8386.01
2020-01-08 01:46:12.955082,80736748,BTC-USD,8386.00,8386.01
